timestamp,cpu_percent,memory_percent,disk_percent,network_sent_mb,network_received_mb
2026-07-25T14:51:21.885864+00:00,29.8,90.5,37.6,245.40214252471924,1460.5329694747925
2026-07-25T14:51:46.471051+00:00,19.3,91.0,37.6,245.7115888595581,1460.921859741211
2026-07-25T14:52:06.611405+00:00,19.1,91.1,37.6,245.74120616912842,1460.9406080245972
2026-07-25T15:07:23.180996+00:00,18.7,93.3,37.6,254.87915229797363,1468.9907989501953
2026-07-25T15:08:28.739199+00:00,19.2,91.0,37.6,255.19348239898682,1469.7890348434448
2026-07-25T15:36:38.377376+00:00,20.8,90.4,37.6,270.6472587585449,1614.164282798767
2026-07-25T15:37:02.988170+00:00,17.1,90.3,37.6,270.6556329727173,1614.1746444702148
2026-07-25T15:38:35.599077+00:00,23.9,88.9,37.6,270.8219985961914,1614.4144077301025
2026-07-25T15:39:24.371394+00:00,19.0,93.3,37.6,271.6151399612427,1620.5623397827148
2026-07-25T15:40:21.280998+00:00,18.3,92.5,37.6,272.34989738464355,1624.2161626815796
2026-07-25T15:41:12.322308+00:00,16.7,93.9,37.6,272.98988914489746,1625.4610319137573
2026-07-29T04:34:03.729570+00:00,61.9,89.0,37.85,86.8402156829834,144.5988006591797
2026-07-29T04:34:19.931669+00:00,60.9,93.3,37.85,86.93120861053467,144.71427059173584
2026-07-29T04:34:29.935562+00:00,34.7,92.6,37.85,86.9512939453125,144.7508840560913
2026-07-29T04:34:40.873622+00:00,30.2,92.0,37.85,87.0659818649292,144.8220338821411
2026-07-29T04:35:05.109838+00:00,15.2,91.5,37.85,87.29299354553223,144.9833517074585
2026-07-29T04:35:30.081762+00:00,17.8,93.1,37.85,87.70306777954102,145.18649291992188
2026-07-29T08:54:19.468753+00:00,22.0,86.9,38.0,45.34206199645996,162.13662147521973
2026-07-29T08:54:31.656408+00:00,26.6,87.5,38.0,45.37225532531738,162.1906328201294
2026-07-29T08:54:40.516267+00:00,23.9,87.2,38.0,45.380051612854004,162.20409202575684
2026-07-29T08:54:49.468054+00:00,22.7,87.2,38.0,45.38157653808594,162.20618152618408
2026-07-29T08:54:59.036446+00:00,27.4,87.6,38.0,45.45777130126953,162.22139167785645
2026-07-29T08:55:08.448311+00:00,25.8,87.3,38.0,45.4822998046875,162.23332500457764
2026-07-29T13:39:56.957142+00:00,24.4,91.6,38.050000000000004,37.39067459106445,172.5748233795166
2026-07-29T13:40:06.212005+00:00,20.2,92.4,38.050000000000004,37.605191230773926,172.6459665298462
2026-07-29T13:40:12.890888+00:00,17.4,91.9,38.050000000000004,37.63848114013672,172.6818084716797
2026-07-29T13:40:19.636597+00:00,18.9,92.0,38.050000000000004,37.65073108673096,172.6963586807251
2026-07-29T13:40:26.542536+00:00,19.9,92.0,38.050000000000004,37.66141414642334,172.7059783935547
2026-07-29T13:40:33.871827+00:00,21.1,91.8,38.050000000000004,37.740254402160645,172.78569507598877
2026-07-29T13:40:41.165364+00:00,21.4,91.7,38.050000000000004,37.801878929138184,172.82259941101074
2026-07-29T13:40:48.057366+00:00,22.0,91.8,38.050000000000004,37.856553077697754,172.82693195343018
2026-07-29T13:40:55.160940+00:00,21.2,92.3,38.050000000000004,37.88900852203369,172.83875846862793
